Name,Precipitacao,StartDate,EndDate
ESTRADA DOS MORROS,14.651067463706235,1987/01/01,2019/07/31
JOINVILLE,7.8221367521367515,1952/06/01,1989/12/31
JOINVILLE (RVPSC),7.5164440734557605,1938/05/01,2019/08/31
JOINVILLE - FUND.,13.603225806451611,1989/01/01,1991/10/31
PIRABEIRABA,11.552800718132854,1987/05/01,2019/07/31
PONTE SC-301,8.10134223471539,1977/05/01,2019/08/31
POSTO ESTRADA BLUMENAU KM 18,11.943225806451613,1985/01/01,1989/12/31
PRIMEIRO SALTO DO CUBATÃO,10.074298375184638,1981/04/01,2019/08/31
RIO DO JÚLIO,7.960935350756534,1946/02/16,1971/01/31
SEGUNDO SALTO CUBATÃO,6.441886269070736,1949/11/23,1972/12/31
ÁGUA AZUL,8.767748091603053,1952/10/01,1968/12/31
